clinical_drug	causes	pathologic_function
antibiotic	causes	neoplastic_process
biologically_active_substance	causes	neoplastic_process
lipid	causes	injury_or_poisoning
carbohydrate	causes	mental_or_behavioral_dysfunction
chemical	causes	acquired_abnormality
element_ion_or_isotope	causes	pathologic_function
hormone	causes	pathologic_function
group	produces	medical_device
fully_formed_anatomical_structure	produces	organic_chemical
professional_or_occupational_group	produces	clinical_drug
cell_component	produces	amino_acid_peptide_or_protein
cell	produces	amino_acid_peptide_or_protein
cell_component	produces	lipid
neoplastic_process	produces	hormone
biologic_function	produces	immunologic_factor
mental_or_behavioral_dysfunction	occurs_in	population_group
mental_or_behavioral_dysfunction	occurs_in	injury_or_poisoning
disease_or_syndrome	occurs_in	population_group
acquired_abnormality	occurs_in	family_group
molecular_function	occurs_in	temporal_concept
neoplastic_process	occurs_in	family_group
pathologic_function	occurs_in	group
neoplastic_process	occurs_in	disease_or_syndrome
enzyme	disrupts	organ_or_tissue_function
injury_or_poisoning	disrupts	fully_formed_anatomical_structure
hormone	disrupts	cell_component
hazardous_or_poisonous_substance	disrupts	tissue
vitamin	disrupts	cell_component
pharmacologic_substance	disrupts	embryonic_structure
receptor	disrupts	body_part_organ_or_organ_component
enzyme	disrupts	genetic_function
mental_or_behavioral_dysfunction	manifestation_of	molecular_function
laboratory_or_test_result	manifestation_of	acquired_abnormality
finding	manifestation_of	physiologic_function
organism_attribute	manifestation_of	mental_process
sign_or_symptom	manifestation_of	molecular_function
clinical_attribute	manifestation_of	mental_process
clinical_attribute	manifestation_of	cell_function
behavior	manifestation_of	mental_or_behavioral_dysfunction
cell	part_of	vertebrate
cell_component	part_of	bacterium
body_part_organ_or_organ_component	part_of	human
cell	part_of	alga
fully_formed_anatomical_structure	part_of	fungus
acquired_abnormality	part_of	archaeon
cell_component	part_of	cell
cell_component	part_of	alga
manufactured_object	issue_in	occupation_or_discipline
finding	issue_in	occupation_or_discipline
food	issue_in	occupation_or_discipline
cell_function	issue_in	occupation_or_discipline
invertebrate	issue_in	biomedical_occupation_or_discipline
molecular_biology_research_technique	issue_in	occupation_or_discipline
experimental_model_of_disease	issue_in	occupation_or_discipline
molecular_biology_research_technique	issue_in	biomedical_occupation_or_discipline
organism_attribute	degree_of	clinical_attribute
pathologic_function	degree_of	experimental_model_of_disease
experimental_model_of_disease	degree_of	mental_or_behavioral_dysfunction
neoplastic_process	degree_of	cell_or_molecular_dysfunction
experimental_model_of_disease	degree_of	pathologic_function
